apple 苹果
banana 香蕉
cat 猫
dog 狗
elephant 大象
fish 鱼
bird 鸟
tiger 老虎
lion 狮子
bear 熊
run 跑
jump 跳
walk 走
swim 游泳
fly 飞
eat 吃
drink 喝
sleep 睡
wake 醒
talk 说话
listen 听
see 看
write 写
read 读
sing 唱
dance 跳舞
play 玩
work 工作
study 学习
think 思考
happy 快乐
sad 悲伤
angry 生气
tired 累
hungry 饿
thirsty 渴
big 大
small 小
tall 高
short 矮
long 长
wide 宽
narrow 窄
hot 热
cold 冷
warm 暖
cool 凉
red 红
blue 蓝
green 绿
yellow 黄
black 黑
white 白
house 房子
car 汽车
bike 自行车
bus 公交车
train 火车
plane 飞机
boat 船
road 路
bridge 桥
river 河
mountain 山
forest 森林
tree 树
flower 花
grass 草
sky 天空
sun 太阳
moon 月亮
star 星星
cloud 云
rain 雨
snow 雪
wind 风
fire 火
water 水
earth 地球
stone 石头
sand 沙子
book 书
pen 笔
paper 纸
desk 桌子
chair 椅子
window 窗户
door 门
bed 床
clock 时钟
phone 电话
computer 电脑
television 电视
radio 收音机
light 灯
dark 黑暗
morning 早上
noon 中午
night 晚上
